Date: 2013-05-10 Time: 15:14:52

Log statistics for channel: 0
Data frames: 10532
Error frames: 0
Overload frames: 0
Max bus load: 19%

Log statistics for channel: 1
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 2
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Log statistics for channel: 3
Data frames: 0
Error frames: 0
Overload frames: 0
Max bus load: 0%

Ch	No	TIME	TYPE	ID	DLC	MSG
0	8909	8,2297	Std	10	6	[00, 03, 01, EB, C3, 20]
0	8910	8,2337	Std	281	4	[01, D7, A7, 5D]
0	8911	8,2338	Std	0	1	[55]
0	8912	8,2341	Std	211	6	[01, 03, 01, EB, BE, 2E]
0	8913	8,2345	Std	8	1	[03]
0	8914	8,2347	Std	10	6	[00, 03, 01, EB, C4, 77]
0	8915	8,2349	Std	410	4	[1D, 9D, 03, 44]
0	8916	8,2352	Std	411	4	[1D, 9D, 03, 44]
0	8917	8,2387	Std	281	4	[01, D7, A7, 5D]
0	8918	8,2388	Std	0	1	[55]
0	8919	8,2391	Std	211	6	[02, 03, 01, EB, BF, 85]
0	8920	8,2395	Std	8	1	[03]
0	8921	8,2397	Std	10	6	[00, 03, 01, EB, C5, CE]
0	8922	8,2437	Std	281	4	[01, D7, A7, 5D]
0	8923	8,2438	Std	0	1	[55]
0	8924	8,2441	Std	211	6	[01, 03, 01, EB, C0, DE]
0	8925	8,2445	Std	8	1	[03]
0	8926	8,2448	Std	10	6	[00, 03, 01, EB, C7, 26]
0	8927	8,2485	Std	209	3	[03, FF, FF]
0	8928	8,2487	Std	281	4	[01, D7, A7, 5D]
0	8929	8,2488	Std	0	1	[55]
0	8930	8,2491	Std	211	6	[02, 03, 01, EB, C2, 36]
0	8931	8,2495	Std	8	1	[03]
0	8932	8,2497	Std	10	6	[00, 03, 01, EB, C8, 7D]
0	8933	8,2537	Std	281	4	[01, D7, A7, 5D]
0	8934	8,2538	Std	0	1	[55]
0	8935	8,2541	Std	211	6	[00, 03, 01, EB, C3, 8E]
0	8936	8,2545	Std	8	1	[03]
0	8937	8,2547	Std	10	6	[00, 03, 01, EB, C9, D4]
0	8938	8,2587	Std	281	4	[01, D7, A7, 5D]
0	8939	8,2588	Std	0	1	[55]
0	8940	8,2591	Std	211	6	[02, 03, 01, EB, C4, E4]
0	8941	8,2595	Std	8	1	[03]
0	8942	8,2597	Std	10	6	[00, 03, 01, EB, CB, 2B]
0	8943	8,2637	Std	281	4	[01, D7, A7, 5E]
0	8944	8,2638	Std	0	1	[55]
0	8945	8,2641	Std	211	6	[00, 03, 01, EB, C6, 3D]
0	8946	8,2645	Std	8	1	[03]
0	8947	8,2648	Std	10	6	[00, 03, 01, EB, CC, 83]
0	8948	8,2687	Std	281	4	[01, D7, A7, 5D]
0	8949	8,2688	Std	0	1	[55]
0	8950	8,2690	Std	209	3	[03, FF, FF]
0	8951	8,2692	Std	211	6	[02, 03, 01, EB, C7, 93]
0	8952	8,2695	Std	8	1	[03]
0	8953	8,2697	Std	10	6	[00, 03, 01, EB, CD, DA]
0	8954	8,2737	Std	281	4	[01, D7, A7, 5D]
0	8955	8,2738	Std	0	1	[55]
0	8956	8,2741	Std	211	6	[01, 03, 01, EB, C8, EA]
0	8957	8,2746	Std	8	1	[03]
0	8958	8,2748	Std	10	6	[00, 03, 01, EB, CF, 31]
0	8959	8,2787	Std	281	4	[01, D7, A7, 5D]
0	8960	8,2788	Std	0	1	[55]
0	8961	8,2791	Std	211	6	[02, 03, 01, EB, CA, 3E]
0	8962	8,2795	Std	8	1	[03]
0	8963	8,2797	Std	10	6	[00, 03, 01, EB, D0, 88]
0	8964	8,2837	Std	281	4	[01, D7, A7, 5D]
0	8965	8,2838	Std	0	1	[55]
0	8966	8,2841	Std	211	6	[00, 03, 01, EB, CB, 97]
0	8967	8,2845	Std	8	1	[03]
0	8968	8,2847	Std	10	6	[00, 03, 01, EB, D1, DF]
0	8969	8,2887	Std	281	4	[01, D7, A7, 5D]
0	8970	8,2888	Std	0	1	[55]
0	8971	8,2891	Std	211	6	[02, 03, 01, EB, CC, ED]
0	8972	8,2893	Std	209	3	[03, FF, FF]
